Legally Blonde, 2001, 13 Jul 2001, English, 96, Amanda Brown (novel)  Karen McCullah (screenplay)  Kirsten Smith (screenplay), Robert Luketic, 6.2, PG-13, tt0250494, 109919, Comedy  Romance, Nominated for 2 Golden Globes. Another 6 wins & 10 nominations.
Harry Potter and the Sorcerer's Stone, 2001, 16 Nov 2001, English, 152, J.K. Rowling (novel)  Steve Kloves (screenplay), Chris Columbus, 7.5, PG, tt0241527, 382400, Adventure  Family  Fantasy, Nominated for 3 Oscars. Another 15 wins & 59 nominations.
Wet Hot American Summer, 2001, 11 Apr 2002, English, 97, Michael Showalter  David Wain, David Wain, 6.7, R, tt0243655, 23293, Comedy  Romance, 1 nomination.
The Fast and the Furious, 2001, 22 Jun 2001, English, 106, Ken Li (magazine article "Racer X")  Gary Scott Thompson (screen story)  Gary Scott Thompson (screenplay)  Erik Bergquist (screenplay)  David Ayer (screenplay), Rob Cohen, 6.6, PG-13, tt0232500, 228584, Action  Crime  Thriller, 9 wins & 12 nominations.
Joe Dirt, 2001, 11 Apr 2001, English, 91, David Spade  Fred Wolf, Dennie Gordon, 5.9, PG-13, tt0245686, 36260, Adventure  Comedy  Drama, 1 nomination.
Donnie Darko, 2001, 30 Jan 2002, English, 113, Richard Kelly, Richard Kelly, 8.1, R, tt0246578, 504258, Drama  Mystery  Sci-Fi, 11 wins & 13 nominations.
Making 'Snatch', 2001, 3 Jul 2001, English, 25, N/A, Martin Herring  Janet Knipe, 7.3, N/A, tt1388353, 29, Documentary  Short, N/A
Pearl Harbor, 2001, 25 May 2001, English, 183, Randall Wallace, Michael Bay, 6.0, PG-13, tt0213149, 225835, Action  Drama  Romance, Won 1 Oscar. Another 10 wins & 41 nominations.
Jurassic Park III, 2001, 18 Jul 2001, English, 92, Michael Crichton (characters)  Peter Buchman  Alexander Payne  Jim Taylor, Joe Johnston, 5.9, PG-13, tt0163025, 174009, Action  Adventure  Sci-Fi, 5 wins & 9 nominations.
Blow, 2001, 6 Apr 2001, English, 124, Bruce Porter (book)  David McKenna (screenplay)  Nick Cassavetes (screenplay), Ted Demme, 7.6, R, tt0221027, 177832, Biography  Crime  Drama, 1 win & 5 nominations.
A Knight's Tale, 2001, 11 May 2001, English, 132, Brian Helgeland, Brian Helgeland, 6.9, PG-13, tt0183790, 123872, Action  Adventure  Romance, 4 wins & 10 nominations.
Not Another Teen Movie, 2001, 14 Dec 2001, English, 89, Mike Bender  Adam Jay Epstein  Andrew Jacobson  Phil Beauman  Buddy Johnson, Joel Gallen, 5.7, R, tt0277371, 73684, Comedy, 5 nominations.
Zoolander, 2001, 28 Sep 2001, English, 89, Drake Sather (character Derek Zoolander)  Ben Stiller (character Derek Zoolander)  Drake Sather (story)  Ben Stiller (story)  Drake Sather (screenplay)  Ben Stiller (screenplay)  John Hamburg (screenplay), Ben Stiller, 6.6, PG-13, tt0196229, 169061, Comedy, 1 win & 9 nominations.
