Daredevil, 2003, 14 Feb 2003, English, 103, Mark Steven Johnson (screenplay), Mark Steven Johnson, 5.3, PG-13, tt0287978, 156030, Action  Crime  Fantasy, 4 wins & 16 nominations.
Hulk, 2003, 20 Jun 2003, English, 138, Stan Lee (Marvel comic book character)  Jack Kirby (Marvel comic book character)  James Schamus (story)  John Turman (screenplay)  Michael France (screenplay)  James Schamus (screenplay), Ang Lee, 5.7, PG-13, tt0286716, 189409, Action  Sci-Fi, 2 wins & 8 nominations.
Pirates of the Caribbean: The Curse of the Black Pearl, 2003, 9 Jul 2003, English, 143, Ted Elliott (screen story)  Terry Rossio (screen story)  Stuart Beattie (screen story)  Jay Wolpert (screen story)  Ted Elliott (screenplay)  Terry Rossio (screenplay), Gore Verbinski, 8.1, PG-13, tt0325980, 689343, Adventure  Fantasy, Nominated for 5 Oscars. Another 31 wins & 77 nominations.
Holes, 2003, 18 Apr 2003, English, 117, Louis Sachar (novel)  Louis Sachar (screenplay), Andrew Davis, 7.1, PG, tt0311289, 50476, Adventure  Comedy  Drama, 3 wins & 9 nominations.
The Lord of the Rings: The Return of the King, 2003, 17 Dec 2003, English, 201, J.R.R. Tolkien (novel)  Fran Walsh (screenplay)  Philippa Boyens (screenplay)  Peter Jackson (screenplay), Peter Jackson, 8.9, PG-13, tt0167260, 1027260, Adventure  Fantasy, Won 11 Oscars. Another 161 wins & 91 nominations.
Finding Nemo, 2003, 30 May 2003, English, 100, Andrew Stanton (original story by)  Andrew Stanton (screenplay)  Bob Peterson (screenplay)  David Reynolds (screenplay), Andrew Stanton  Lee Unkrich, 8.2, G, tt0266543, 560626, Animation  Adventure  Comedy, Won 1 Oscar. Another 45 wins & 51 nominations.
Kill Bill: Vol. 1, 2003, 10 Oct 2003, English, 111, Quentin Tarantino  Quentin Tarantino (character The Bride)  Uma Thurman (character The Bride), Quentin Tarantino, 8.1, R, tt0266697, 616328, Action, Nominated for 1 Golden Globe. Another 23 wins & 64 nominations.
Love Actually, 2003, 14 Nov 2003, English, 135, Richard Curtis, Richard Curtis, 7.7, R, tt0314331, 283917, Comedy  Drama  Romance, Nominated for 2 Golden Globes. Another 10 wins & 24 nominations.
2 Fast 2 Furious, 2003, 6 Jun 2003, English, 107, Gary Scott Thompson (characters)  Michael Brandt (story)  Derek Haas (story)  Gary Scott Thompson (story)  Michael Brandt (screenplay)  Derek Haas (screenplay), John Singleton, 5.8, PG-13, tt0322259, 158713, Action  Crime, 3 wins & 13 nominations.
Lost in Translation, 2003, 3 Oct 2003, English, 101, Sofia Coppola, Sofia Coppola, 7.8, R, tt0335266, 290126, Drama, Won 1 Oscar. Another 107 wins & 77 nominations.
The Room, 2003, 27 Jun 2003, English, 99, Tommy Wiseau, Tommy Wiseau, 3.5, R, tt0368226, 24076, Drama, 1 win.
Monster, 2003, 30 Jan 2004, English, 109, Patty Jenkins, Patty Jenkins, 7.3, R, tt0340855, 93941, Biography  Crime  Drama, Won 1 Oscar. Another 28 wins & 16 nominations.
Legally Blonde 2: Red  White & Blonde, 2003, 2 Jul 2003, English, 95, Amanda Brown (characters)  Eve Ahlert (story)  Dennis Drake (story)  Kate Kondell (story)  Kate Kondell (screenplay), Charles Herman-Wurmfeld, 4.5, PG-13, tt0333780, 39591, Comedy, 3 wins & 3 nominations.
School of Rock, 2003, 3 Oct 2003, English, 108, Mike White, Richard Linklater, 7.1, PG-13, tt0332379, 184232, Comedy  Music, Nominated for 1 Golden Globe. Another 8 wins & 13 nominations.
A Story of Survival: Behind the Scenes of 'The Pianist', 2003, 27 May 2003, English, 39, N/A, N/A, 7.5, N/A, tt0371961, 63, Documentary  Short, N/A
Underworld, 2003, 19 Sep 2003, English, 121, Kevin Grevioux (story)  Len Wiseman (story)  Danny McBride (story)  Danny McBride (screenplay), Len Wiseman, 7.0, R, tt0320691, 186916, Action  Fantasy  Thriller, 1 win & 8 nominations.
Peter Pan, 2003, 25 Dec 2003, English, 113, J.M. Barrie (play)  P.J. Hogan (screenplay)  Michael Goldenberg (screenplay), P.J. Hogan, 6.9, PG, tt0316396, 48118, Adventure  Family  Fantasy, 3 wins & 12 nominations.
Mystic River, 2003, 15 Oct 2003, English, 138, Brian Helgeland (screenplay)  Dennis Lehane (novel), Clint Eastwood, 8.0, R, tt0327056, 307647, Crime  Drama  Mystery, Won 2 Oscars. Another 75 wins & 89 nominations.
Big Fish, 2003, 9 Jan 2004, English, 125, Daniel Wallace (novel)  John August (screenplay), Tim Burton, 8.0, PG-13, tt0319061, 324140, Adventure  Drama  Fantasy, Nominated for 1 Oscar. Another 2 wins & 45 nominations.
Terminator 3: Rise of the Machines, 2003, 2 Jul 2003, English, 109, James Cameron (characters)  Gale Anne Hurd (characters)  John D. Brancato (story)  Michael Ferris (story)  Tedi Sarafian (story)  John D. Brancato (screenplay)  Michael Ferris (screenplay), Jonathan Mostow, 6.4, R, tt0181852, 260635, Action  Sci-Fi, 2 wins & 17 nominations.
