Marvel's+The+Avengers,,,,,,,,,,,,
Pitch Perfect, 2012, 5 Oct 2012, English, 112, Kay Cannon (screenplay)  Mickey Rapkin (based on the book by), Jason Moore, 7.3, PG-13, tt1981677, 164249, Comedy  Music  Romance, 6 wins & 18 nominations.
Magic Mike, 2012, 29 Jun 2012, English, 110, Reid Carolin, Steven Soderbergh, 6.1, R, tt1915581, 89099, Comedy  Drama, 9 wins & 12 nominations.
The Dark Knight Rises, 2012, 20 Jul 2012, English, 165, Jonathan Nolan (screenplay)  Christopher Nolan (screenplay)  Christopher Nolan (story)  David S. Goyer (story)  Bob Kane (characters), Christopher Nolan, 8.5, PG-13, tt1345836, 947552, Action  Thriller, Nominated for 1 BAFTA Film Award. Another 43 wins & 82 nominations.
The Hunger Games, 2012, 23 Mar 2012, English, 142, Gary Ross (screenplay)  Suzanne Collins (screenplay)  Billy Ray (screenplay)  Suzanne Collins (novel), Gary Ross, 7.3, PG-13, tt1392170, 609997, Adventure  Sci-Fi, Nominated for 1 Golden Globe. Another 32 wins & 40 nominations.
Django Unchained, 2012, 25 Dec 2012, English, 165, Quentin Tarantino, Quentin Tarantino, 8.5, R, tt1853728, 763566, Western, Won 2 Oscars. Another 62 wins & 98 nominations.
The Making of Dredd 3D, 2012, 12 Dec 2012, English, N/A, N/A, Jon Mefford  Mac Kenny, 7.5, N/A, tt2422322, 6, Sci-Fi, N/A
The Twilight Saga: Breaking Dawn - Part 2, 2012, 16 Nov 2012, English, 115, Melissa Rosenberg (screenplay)  Stephenie Meyer (novel), Bill Condon, 5.6, PG-13, tt1673434, 163141, Adventure  Drama  Fantasy, 19 wins & 11 nominations.
Silver Linings Playbook, 2012, 25 Dec 2012, English, 122, David O. Russell (screenplay)  Matthew Quick (novel), David O. Russell, 7.8, R, tt1045658, 459550, Comedy  Drama  Romance, Won 1 Oscar. Another 91 wins & 117 nominations.
Sinister, 2012, 12 Oct 2012, English, 110, Scott Derrickson  C. Robert Cargill, Scott Derrickson, 6.8, R, tt1922777, 117832, Horror  Mystery, 5 wins & 10 nominations.
The Perks of Being a Wallflower, 2012, 12 Oct 2012, English, 102, Stephen Chbosky (screenplay)  Stephen Chbosky (book), Stephen Chbosky, 8.1, PG-13, tt1659337, 294624, Drama  Romance, 21 wins & 39 nominations.
The Hobbit: An Unexpected Journey, 2012, 14 Dec 2012, English, 169, Fran Walsh (screenplay)  Philippa Boyens (screenplay)  Peter Jackson (screenplay)  Guillermo del Toro (screenplay)  J.R.R. Tolkien (novel), Peter Jackson, 8.0, PG-13, tt0903624, 552675, Adventure  Fantasy, Nominated for 3 Oscars. Another 12 wins & 58 nominations.
Prometheus, 2012, 8 Jun 2012, English, 124, Jon Spaihts  Damon Lindelof  Dan O'Bannon (elements)  Ronald Shusett (elements), Ridley Scott, 7.0, R, tt1446714, 405691, Adventure  Mystery  Sci-Fi, Nominated for 1 Oscar. Another 6 wins & 33 nominations.
21 Jump Street, 2012, 16 Mar 2012, English, 109, Michael Bacall (screenplay)  Michael Bacall (story)  Jonah Hill (story)  Patrick Hasburgh (television series)  Stephen J. Cannell (television series), Phil Lord  Christopher Miller, 7.2, R, tt1232829, 347321, Action  Comedy  Crime, 8 wins & 20 nominations.
Ted, 2012, 29 Jun 2012, English, 106, Seth MacFarlane (screenplay)  Alec Sulkin (screenplay)  Wellesley Wild (screenplay)  Seth MacFarlane (story), Seth MacFarlane, 7.0, R, tt1637725, 405767, Comedy  Fantasy, Nominated for 1 Oscar. Another 13 wins & 26 nominations.
The Amazing Spider-Man, 2012, 3 Jul 2012, English, 136, James Vanderbilt (screenplay)  Alvin Sargent (screenplay)  Steve Kloves (screenplay)  James Vanderbilt (story)  Stan Lee (based on the Marvel comic book by)  Steve Ditko (based on the Marvel comic book by), Marc Webb, 7.1, PG-13, tt0948470, 384812, Action  Adventure  Fantasy, 4 wins & 29 nominations.
Wolverine vs. Gladiator in: Les Miserables, 2012, N/A, English, 5, N/A, Matthew Campagna, N/A, N/A, tt2575972, N/A, Short  Action  History, N/A
Skyfall, 2012, 9 Nov 2012, English, 143, Neal Purvis  Robert Wade  John Logan, Sam Mendes, 7.8, PG-13, tt1074638, 440671, Action  Thriller, Won 2 Oscars. Another 66 wins & 94 nominations.
Anna Karenina, 2012, 7 Sep 2012, English, 129, Tom Stoppard (screenplay)  Leo Tolstoy (novel), Joe Wright, 6.6, R, tt1781769, 59817, Drama  Romance, Won 1 Oscar. Another 25 wins & 47 nominations.
The Cabin in the Woods, 2012, 13 Apr 2012, English, 95, Joss Whedon  Drew Goddard, Drew Goddard, 7.0, R, tt1259521, 238341, Horror  Mystery  Thriller, 17 wins & 26 nominations.
