X-Men, 2000, 14 Jul 2000, English, 104, Tom DeSanto (story)  Bryan Singer (story)  David Hayter (screenplay), Bryan Singer, 7.4, PG-13, tt0120903, 382486, Action  Adventure  Sci-Fi, 13 wins & 25 nominations.
Gladiator, 2000, 5 May 2000, English, 155, David Franzoni (story)  David Franzoni (screenplay)  John Logan (screenplay)  William Nicholson (screenplay), Ridley Scott, 8.5, R, tt0172495, 824824, Action  Drama, Won 5 Oscars. Another 57 wins & 94 nominations.
American Psycho, 2000, 14 Apr 2000, English, 102, Bret Easton Ellis (novel)  Mary Harron (screenplay)  Guinevere Turner (screenplay), Mary Harron, 7.6, R, tt0144084, 309883, Crime  Drama, 5 wins & 8 nominations.
Requiem for a Dream, 2000, 27 Oct 2000, English, 102, Hubert Selby Jr. (based on the book by)  Hubert Selby Jr. (screenplay)  Darren Aronofsky (screenplay), Darren Aronofsky, 8.4, R, tt0180093, 493049, Drama, Nominated for 1 Oscar. Another 43 wins & 47 nominations.
Almost Famous, 2000, 22 Sep 2000, English, 122, Cameron Crowe, Cameron Crowe, 7.9, R, tt0181875, 186315, Drama  Music  Romance, Won 1 Oscar. Another 57 wins & 95 nominations.
Remember the Titans, 2000, 29 Sep 2000, English, 113, Gregory Allen Howard, Boaz Yakin, 7.7, PG, tt0210945, 144064, Biography  Drama  Sport, 7 wins & 17 nominations.
The Beach, 2000, 11 Feb 2000, English, 119, John Hodge (screenplay)  Alex Garland (novel), Danny Boyle, 6.6, R, tt0163978, 153647, Adventure  Drama  Thriller, 7 nominations.
Cast Away, 2000, 22 Dec 2000, English, 143, William Broyles Jr., Robert Zemeckis, 7.7, PG-13, tt0162222, 336931, Adventure  Drama, Nominated for 2 Oscars. Another 18 wins & 25 nominations.
Unbreakable, 2000, 22 Nov 2000, English, 106, M. Night Shyamalan, M. Night Shyamalan, 7.2, PG-13, tt0217869, 224001, Drama  Mystery  Sci-Fi, 2 wins & 12 nominations.
Coyote Ugly, 2000, 4 Aug 2000, English, 100, Gina Wendkos, David McNally, 5.6, PG-13, tt0200550, 82764, Comedy  Drama  Music, 4 wins & 4 nominations.
The Emperor's New Groove, 2000, 15 Dec 2000, English, 78, Chris Williams (story)  Mark Dindal (story)  David Reynolds (screenplay)  Stephen J. Anderson (story)  Stephen J. Anderson (additional story material)  Don Hall (additional story material)  John Norton (additional story material)  Roger Allers (original story)  Matthew Jacobs (original story)  Doug Frankel (additional story)  Mark Kennedy (additional story)  Mark Walton (additional story), Mark Dindal, 7.3, G, tt0120917, 107828, Animation  Adventure  Comedy, Nominated for 1 Oscar. Another 8 wins & 27 nominations.
The Cell, 2000, 18 Aug 2000, English, 107, Mark Protosevich, Tarsem Singh, 6.3, R, tt0209958, 73832, Sci-Fi  Thriller, Nominated for 1 Oscar. Another 7 wins & 22 nominations.
The Patriot, 2000, 28 Jun 2000, English, 165, Robert Rodat, Roland Emmerich, 7.1, R, tt0187393, 185518, Action  Drama  History, Nominated for 3 Oscars. Another 8 wins & 17 nominations.
Charlie's Angels, 2000, 3 Nov 2000, English, 98, Ryan Rowe  Ed Solomon  John August  Ivan Goff (TV series)  Ben Roberts (TV series), McG, 5.5, PG-13, tt0160127, 134196, Action  Adventure  Comedy, 12 wins & 26 nominations.
Me  Myself & Irene, 2000, 23 Jun 2000, English, 116, Peter Farrelly  Mike Cerrone  Bobby Farrelly, Bobby Farrelly  Peter Farrelly, 6.5, R, tt0183505, 168860, Comedy, 2 wins & 4 nominations.
Scary Movie, 2000, 7 Jul 2000, English, 88, Shawn Wayans  Marlon Wayans  Buddy Johnson  Phil Beauman  Jason Friedberg  Aaron Seltzer, Keenen Ivory Wayans, 6.2, R, tt0175142, 167928, Comedy, 7 wins & 5 nominations.
That Moment: Magnolia Diary, 2000, 29 Aug 2000, English, 73, N/A, Mark Rance, 7.4, N/A, tt0358205, 261, Documentary  Drama, N/A
